Feature,Value,Model,Subject
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_19
error,0,AdaBoostRegressor(random_state=2024),subject_19
error,0,LGBMRegressor(random_state=2024),subject_19
error,0,GradientBoostingRegressor(random_state=2024),subject_19
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_19
error,0,LinearRegression(n_jobs=-1),subject_19
error,0,PassiveAggressiveRegressor(random_state=2024),subject_19
error,0,HuberRegressor(),subject_19
error,0,Ridge(random_state=2024),subject_19
error,0,DecisionTreeRegressor(random_state=2024),subject_19
error,0,KNeighborsRegressor(n_jobs=-1),subject_19
error,0,Lars(random_state=2024),subject_19
error,0,DummyRegressor(),subject_19
error,0,BayesianRidge(),subject_19
error,0,Lasso(random_state=2024),subject_19
error,0,LassoLars(random_state=2024),subject_19
error,0,ElasticNet(random_state=2024),subject_19
error,0,OrthogonalMatchingPursuit(),subject_19
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_2
error,0,AdaBoostRegressor(random_state=2024),subject_2
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_2
error,0,LinearRegression(n_jobs=-1),subject_2
error,0,Ridge(random_state=2024),subject_2
error,0,OrthogonalMatchingPursuit(),subject_2
error,0,Lasso(random_state=2024),subject_2
error,0,LassoLars(random_state=2024),subject_2
error,0,GradientBoostingRegressor(random_state=2024),subject_2
error,0,DummyRegressor(),subject_2
error,0,BayesianRidge(),subject_2
error,0,ElasticNet(random_state=2024),subject_2
error,0,KNeighborsRegressor(n_jobs=-1),subject_2
error,0,HuberRegressor(),subject_2
error,0,LGBMRegressor(random_state=2024),subject_2
error,0,DecisionTreeRegressor(random_state=2024),subject_2
error,0,PassiveAggressiveRegressor(random_state=2024),subject_2
error,0,Lars(random_state=2024),subject_2
error,0,PassiveAggressiveRegressor(random_state=2024),subject_20
error,0,DecisionTreeRegressor(random_state=2024),subject_20
error,0,AdaBoostRegressor(random_state=2024),subject_20
error,0,GradientBoostingRegressor(random_state=2024),subject_20
error,0,Ridge(random_state=2024),subject_20
error,0,HuberRegressor(),subject_20
error,0,DummyRegressor(),subject_20
error,0,LGBMRegressor(random_state=2024),subject_20
error,0,BayesianRidge(),subject_20
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_20
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_20
error,0,Lasso(random_state=2024),subject_20
error,0,LassoLars(random_state=2024),subject_20
error,0,ElasticNet(random_state=2024),subject_20
error,0,OrthogonalMatchingPursuit(),subject_20
error,0,LinearRegression(n_jobs=-1),subject_20
error,0,KNeighborsRegressor(n_jobs=-1),subject_20
error,0,Lars(random_state=2024),subject_20
error,0,KNeighborsRegressor(n_jobs=-1),subject_21
error,0,Ridge(random_state=2024),subject_21
error,0,DecisionTreeRegressor(random_state=2024),subject_21
error,0,LinearRegression(n_jobs=-1),subject_21
error,0,LGBMRegressor(random_state=2024),subject_21
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_21
error,0,DummyRegressor(),subject_21
error,0,BayesianRidge(),subject_21
error,0,Lasso(random_state=2024),subject_21
error,0,LassoLars(random_state=2024),subject_21
error,0,ElasticNet(random_state=2024),subject_21
error,0,OrthogonalMatchingPursuit(),subject_21
error,0,HuberRegressor(),subject_21
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_21
error,0,AdaBoostRegressor(random_state=2024),subject_21
error,0,GradientBoostingRegressor(random_state=2024),subject_21
error,0,PassiveAggressiveRegressor(random_state=2024),subject_21
error,0,Lars(random_state=2024),subject_21
