Feature,Value,Model,test_set
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_25')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_25')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_25')"
error,0,DecisionTreeRegressor(random_state=3450),"('subject_10', 'subject_15', 'subject_25')"
error,0,PassiveAggressiveRegressor(random_state=3450),"('subject_10', 'subject_15', 'subject_25')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=6311)","('subject_10', 'subject_15', 'subject_26')"
error,0,GradientBoostingRegressor(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,LGBMRegressor(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,AdaBoostRegressor(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=6311)","('subject_10', 'subject_15', 'subject_26')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_26')"
error,0,Ridge(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_26')"
error,0,ElasticNet(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,LassoLars(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,Lasso(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_26')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_26')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_26')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_26')"
error,0,Lars(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,DecisionTreeRegressor(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,PassiveAggressiveRegressor(random_state=6311),"('subject_10', 'subject_15', 'subject_26')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=5771)","('subject_10', 'subject_15', 'subject_27')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=5771)","('subject_10', 'subject_15', 'subject_27')"
error,0,LGBMRegressor(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,GradientBoostingRegressor(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,AdaBoostRegressor(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_27')"
error,0,Ridge(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,Lars(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_27')"
error,0,ElasticNet(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,Lasso(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,LassoLars(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_27')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_27')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_27')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_27')"
error,0,DecisionTreeRegressor(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,PassiveAggressiveRegressor(random_state=5771),"('subject_10', 'subject_15', 'subject_27')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=420)","('subject_10', 'subject_15', 'subject_28')"
error,0,GradientBoostingRegressor(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=420)","('subject_10', 'subject_15', 'subject_28')"
error,0,AdaBoostRegressor(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,LGBMRegressor(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_28')"
error,0,Ridge(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_28')"
error,0,Lasso(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,LassoLars(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_28')"
error,0,ElasticNet(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_28')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_28')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_28')"
error,0,Lars(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,PassiveAggressiveRegressor(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,DecisionTreeRegressor(random_state=420),"('subject_10', 'subject_15', 'subject_28')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=8339)","('subject_10', 'subject_15', 'subject_29')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=8339)","('subject_10', 'subject_15', 'subject_29')"
error,0,LGBMRegressor(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,GradientBoostingRegressor(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,AdaBoostRegressor(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_29')"
error,0,Lars(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,Ridge(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,ElasticNet(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_29')"
error,0,LassoLars(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,Lasso(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_29')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_29')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_29')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_29')"
error,0,DecisionTreeRegressor(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,PassiveAggressiveRegressor(random_state=8339),"('subject_10', 'subject_15', 'subject_29')"
error,0,LGBMRegressor(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=6620)","('subject_10', 'subject_15', 'subject_3')"
error,0,GradientBoostingRegressor(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,AdaBoostRegressor(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=6620)","('subject_10', 'subject_15', 'subject_3')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_3')"
error,0,Ridge(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_3')"
error,0,ElasticNet(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,LassoLars(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_3')"
error,0,Lasso(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_3')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_3')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_3')"
error,0,Lars(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,DecisionTreeRegressor(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,PassiveAggressiveRegressor(random_state=6620),"('subject_10', 'subject_15', 'subject_3')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=1955)","('subject_10', 'subject_15', 'subject_33')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=1955)","('subject_10', 'subject_15', 'subject_33')"
error,0,LGBMRegressor(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,GradientBoostingRegressor(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,AdaBoostRegressor(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_33')"
error,0,Ridge(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,Lars(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,ElasticNet(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_33')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_33')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_33')"
error,0,Lasso(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,LassoLars(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_33')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_33')"
error,0,DecisionTreeRegressor(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,PassiveAggressiveRegressor(random_state=1955),"('subject_10', 'subject_15', 'subject_33')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=7599)","('subject_10', 'subject_15', 'subject_5')"
error,0,LGBMRegressor(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,GradientBoostingRegressor(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=7599)","('subject_10', 'subject_15', 'subject_5')"
error,0,AdaBoostRegressor(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_5')"
error,0,Ridge(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,Lars(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_5')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_5')"
error,0,ElasticNet(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_5')"
error,0,Lasso(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,LassoLars(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_5')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_5')"
error,0,PassiveAggressiveRegressor(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,DecisionTreeRegressor(random_state=7599),"('subject_10', 'subject_15', 'subject_5')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=4174)","('subject_10', 'subject_15', 'subject_6')"
error,0,LGBMRegressor(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,GradientBoostingRegressor(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=4174)","('subject_10', 'subject_15', 'subject_6')"
error,0,AdaBoostRegressor(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_6')"
error,0,Ridge(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,Lars(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_6')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_6')"
error,0,ElasticNet(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,Lasso(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,LassoLars(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_6')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_6')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_6')"
error,0,PassiveAggressiveRegressor(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,DecisionTreeRegressor(random_state=4174),"('subject_10', 'subject_15', 'subject_6')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=6553)","('subject_10', 'subject_15', 'subject_7')"
error,0,LGBMRegressor(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=6553)","('subject_10', 'subject_15', 'subject_7')"
error,0,GradientBoostingRegressor(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,AdaBoostRegressor(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,Lars(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_7')"
error,0,Ridge(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_7')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_7')"
error,0,ElasticNet(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_7')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_7')"
error,0,Lasso(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,LassoLars(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_7')"
error,0,DecisionTreeRegressor(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,PassiveAggressiveRegressor(random_state=6553),"('subject_10', 'subject_15', 'subject_7')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=4085)","('subject_10', 'subject_15', 'subject_8')"
error,0,GradientBoostingRegressor(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,LGBMRegressor(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,AdaBoostRegressor(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=4085)","('subject_10', 'subject_15', 'subject_8')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_8')"
error,0,Ridge(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_8')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_8')"
error,0,ElasticNet(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,Lars(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,Lasso(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,LassoLars(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_8')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_8')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_8')"
error,0,PassiveAggressiveRegressor(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,DecisionTreeRegressor(random_state=4085),"('subject_10', 'subject_15', 'subject_8')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2048)","('subject_10', 'subject_15', 'subject_9')"
error,0,GradientBoostingRegressor(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,LGBMRegressor(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,AdaBoostRegressor(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2048)","('subject_10', 'subject_15', 'subject_9')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_15', 'subject_9')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_15', 'subject_9')"
error,0,Ridge(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,ElasticNet(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,Lars(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,Lasso(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,LassoLars(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,BayesianRidge(),"('subject_10', 'subject_15', 'subject_9')"
error,0,DummyRegressor(),"('subject_10', 'subject_15', 'subject_9')"
error,0,HuberRegressor(),"('subject_10', 'subject_15', 'subject_9')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_15', 'subject_9')"
error,0,DecisionTreeRegressor(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,PassiveAggressiveRegressor(random_state=2048),"('subject_10', 'subject_15', 'subject_9')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=4640)","('subject_10', 'subject_16', 'subject_17')"
error,0,GradientBoostingRegressor(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=4640)","('subject_10', 'subject_16', 'subject_17')"
error,0,AdaBoostRegressor(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,LGBMRegressor(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_16', 'subject_17')"
error,0,Ridge(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,ElasticNet(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,DummyRegressor(),"('subject_10', 'subject_16', 'subject_17')"
error,0,LassoLars(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,Lasso(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,BayesianRidge(),"('subject_10', 'subject_16', 'subject_17')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_16', 'subject_17')"
error,0,Lars(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,HuberRegressor(),"('subject_10', 'subject_16', 'subject_17')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_16', 'subject_17')"
error,0,DecisionTreeRegressor(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,PassiveAggressiveRegressor(random_state=4640),"('subject_10', 'subject_16', 'subject_17')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=8432)","('subject_10', 'subject_16', 'subject_18')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=8432)","('subject_10', 'subject_16', 'subject_18')"
error,0,GradientBoostingRegressor(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,LGBMRegressor(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,AdaBoostRegressor(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_16', 'subject_18')"
error,0,Ridge(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,ElasticNet(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,BayesianRidge(),"('subject_10', 'subject_16', 'subject_18')"
error,0,LassoLars(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,Lasso(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,DummyRegressor(),"('subject_10', 'subject_16', 'subject_18')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_16', 'subject_18')"
error,0,HuberRegressor(),"('subject_10', 'subject_16', 'subject_18')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_16', 'subject_18')"
error,0,Lars(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,DecisionTreeRegressor(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,PassiveAggressiveRegressor(random_state=8432),"('subject_10', 'subject_16', 'subject_18')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=6390)","('subject_10', 'subject_16', 'subject_19')"
error,0,GradientBoostingRegressor(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,LGBMRegressor(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=6390)","('subject_10', 'subject_16', 'subject_19')"
error,0,AdaBoostRegressor(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_16', 'subject_19')"
error,0,Ridge(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,Lars(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,HuberRegressor(),"('subject_10', 'subject_16', 'subject_19')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_16', 'subject_19')"
error,0,ElasticNet(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,Lasso(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,LassoLars(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,BayesianRidge(),"('subject_10', 'subject_16', 'subject_19')"
error,0,DummyRegressor(),"('subject_10', 'subject_16', 'subject_19')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_16', 'subject_19')"
error,0,PassiveAggressiveRegressor(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,DecisionTreeRegressor(random_state=6390),"('subject_10', 'subject_16', 'subject_19')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2204)","('subject_10', 'subject_16', 'subject_2')"
error,0,GradientBoostingRegressor(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,LGBMRegressor(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,AdaBoostRegressor(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2204)","('subject_10', 'subject_16', 'subject_2')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_16', 'subject_2')"
error,0,Ridge(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,DummyRegressor(),"('subject_10', 'subject_16', 'subject_2')"
error,0,Lasso(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,LassoLars(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,BayesianRidge(),"('subject_10', 'subject_16', 'subject_2')"
error,0,ElasticNet(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_16', 'subject_2')"
error,0,HuberRegressor(),"('subject_10', 'subject_16', 'subject_2')"
error,0,Lars(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_16', 'subject_2')"
error,0,DecisionTreeRegressor(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,PassiveAggressiveRegressor(random_state=2204),"('subject_10', 'subject_16', 'subject_2')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=7186)","('subject_10', 'subject_16', 'subject_20')"
error,0,GradientBoostingRegressor(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,AdaBoostRegressor(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,LGBMRegressor(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=7186)","('subject_10', 'subject_16', 'subject_20')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_16', 'subject_20')"
error,0,Ridge(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_16', 'subject_20')"
error,0,ElasticNet(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,LassoLars(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,Lasso(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,DummyRegressor(),"('subject_10', 'subject_16', 'subject_20')"
error,0,BayesianRidge(),"('subject_10', 'subject_16', 'subject_20')"
error,0,HuberRegressor(),"('subject_10', 'subject_16', 'subject_20')"
error,0,Lars(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_16', 'subject_20')"
error,0,DecisionTreeRegressor(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,PassiveAggressiveRegressor(random_state=7186),"('subject_10', 'subject_16', 'subject_20')"
error,0,LGBMRegressor(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,GradientBoostingRegressor(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=363)","('subject_10', 'subject_16', 'subject_21')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=363)","('subject_10', 'subject_16', 'subject_21')"
error,0,AdaBoostRegressor(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_16', 'subject_21')"
error,0,Lars(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,Ridge(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,BayesianRidge(),"('subject_10', 'subject_16', 'subject_21')"
error,0,ElasticNet(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,OrthogonalMatchingPursuit(),"('subject_10', 'subject_16', 'subject_21')"
error,0,Lasso(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,LassoLars(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,DummyRegressor(),"('subject_10', 'subject_16', 'subject_21')"
error,0,HuberRegressor(),"('subject_10', 'subject_16', 'subject_21')"
error,0,KNeighborsRegressor(n_jobs=-1),"('subject_10', 'subject_16', 'subject_21')"
error,0,DecisionTreeRegressor(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,PassiveAggressiveRegressor(random_state=363),"('subject_10', 'subject_16', 'subject_21')"
error,0,LGBMRegressor(random_state=1579),"('subject_10', 'subject_16', 'subject_22')"
error,0,"RandomForestRegressor(n_jobs=-1, random_state=1579)","('subject_10', 'subject_16', 'subject_22')"
error,0,GradientBoostingRegressor(random_state=1579),"('subject_10', 'subject_16', 'subject_22')"
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=1579)","('subject_10', 'subject_16', 'subject_22')"
error,0,AdaBoostRegressor(random_state=1579),"('subject_10', 'subject_16', 'subject_22')"
error,0,LinearRegression(n_jobs=-1),"('subject_10', 'subject_16', 'subject_22')"
error,0,Ridge(random_state=1579),"('subject_10', 'subject_16', 'subject_22')"
error,0,ElasticNet(random_state=1579),"('subject_10', 'subject_16', 'subject_22')"
error,0,DummyRegressor(),"('subject_10', 'subject_16', 'subject_22')"
error,0,BayesianRidge(),"('subject_10', 'subject_16', 'subject_22')"
error,0,LassoLars(random_state=1579),"('subject_10', 'subject_16', 'subject_22')"
error,0,Lasso(random_state=1579),"('subject_10', 'subject_16', 'subject_22')"
error,0,HuberRegressor(),"('subject_10', 'subject_16', 'subject_22')"
error,0,Lars(random_state=1579),"('subject_10', 'subject_16', 'subject_22')"
