Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),test_set
Quadratic Discriminant Analysis,0.5278,0.505,0.76,0.5433,0.6121,0.0141,0.0374,0.121,"(3, 9, 15)"
K Neighbors Classifier,0.45,0.4565,0.44,0.4917,0.4581,-0.0928,-0.0999,0.132,"(3, 9, 15)"
Light Gradient Boosting Machine,0.7427,0.812,0.84,0.7348,0.7808,0.4722,0.4836,0.13,"(3, 9, 16)"
Ada Boost Classifier,0.7236,0.7868,0.7833,0.7383,0.7464,0.437,0.4516,0.16,"(3, 9, 16)"
Random Forest Classifier,0.7209,0.8122,0.79,0.7388,0.7529,0.4411,0.4541,0.183,"(3, 9, 16)"
Extra Trees Classifier,0.7109,0.8289,0.78,0.7157,0.7389,0.4107,0.4286,0.172,"(3, 9, 16)"
Gradient Boosting Classifier,0.6918,0.7922,0.7167,0.7308,0.7139,0.3749,0.3842,0.165,"(3, 9, 16)"
Quadratic Discriminant Analysis,0.6527,0.6367,0.9133,0.6538,0.7374,0.2759,0.3405,0.121,"(3, 9, 16)"
Decision Tree Classifier,0.6436,0.6475,0.58,0.7014,0.6249,0.29,0.2983,0.125,"(3, 9, 16)"
Linear Discriminant Analysis,0.6136,0.683,0.6367,0.7067,0.6429,0.2194,0.2296,0.125,"(3, 9, 16)"
Ridge Classifier,0.6036,0.0,0.6767,0.6511,0.6411,0.2026,0.2261,0.122,"(3, 9, 16)"
Logistic Regression,0.5936,0.6555,0.6367,0.654,0.6244,0.1812,0.1976,0.133,"(3, 9, 16)"
Dummy Classifier,0.5445,0.5,1.0,0.5445,0.7039,0.0,0.0,0.123,"(3, 9, 16)"
Naive Bayes,0.5318,0.5552,0.6367,0.5846,0.5946,0.0521,0.0571,0.126,"(3, 9, 16)"
SVM - Linear Kernel,0.5045,0.0,0.6,0.3245,0.4206,0.0,0.0,0.129,"(3, 9, 16)"
K Neighbors Classifier,0.4764,0.483,0.5133,0.5639,0.5015,-0.0387,-0.0324,0.125,"(3, 9, 16)"
Random Forest Classifier,0.6947,0.7536,0.7905,0.6996,0.7368,0.3758,0.3899,0.179,"(3, 9, 17)"
Extra Trees Classifier,0.6939,0.796,0.7905,0.7184,0.7377,0.3722,0.3932,0.179,"(3, 9, 17)"
Linear Discriminant Analysis,0.6932,0.7676,0.7214,0.7476,0.7181,0.3791,0.3977,0.13,"(3, 9, 17)"
Logistic Regression,0.6864,0.7195,0.7929,0.6873,0.7281,0.3598,0.3859,0.139,"(3, 9, 17)"
Ridge Classifier,0.6689,0.0,0.8262,0.6572,0.727,0.3161,0.3466,0.125,"(3, 9, 17)"
Gradient Boosting Classifier,0.6583,0.6405,0.7071,0.6823,0.6863,0.3098,0.3239,0.173,"(3, 9, 17)"
Ada Boost Classifier,0.6303,0.6219,0.6881,0.6508,0.6597,0.2517,0.2613,0.162,"(3, 9, 17)"
Light Gradient Boosting Machine,0.5962,0.649,0.6595,0.6437,0.6352,0.1798,0.197,0.133,"(3, 9, 17)"
Decision Tree Classifier,0.5864,0.5864,0.5929,0.6489,0.6055,0.1699,0.1767,0.13,"(3, 9, 17)"
Naive Bayes,0.5856,0.6338,0.6905,0.5942,0.6301,0.1553,0.1651,0.129,"(3, 9, 17)"
Quadratic Discriminant Analysis,0.5492,0.5,1.0,0.5492,0.709,0.0,0.0,0.125,"(3, 9, 17)"
Dummy Classifier,0.5492,0.5,1.0,0.5492,0.709,0.0,0.0,0.127,"(3, 9, 17)"
SVM - Linear Kernel,0.4871,0.0,0.4167,0.2682,0.3074,-0.0031,-0.0043,0.126,"(3, 9, 17)"
K Neighbors Classifier,0.4417,0.426,0.5286,0.4829,0.4945,-0.1297,-0.1215,0.132,"(3, 9, 17)"
Gradient Boosting Classifier,0.73,0.8173,0.8033,0.7531,0.7599,0.4519,0.4799,0.171,"(3, 12, 13)"
Extra Trees Classifier,0.7218,0.7673,0.81,0.7333,0.756,0.4355,0.4638,0.181,"(3, 12, 13)"
Random Forest Classifier,0.7109,0.7184,0.7733,0.7333,0.7409,0.4196,0.4362,0.186,"(3, 12, 13)"
Linear Discriminant Analysis,0.6827,0.785,0.6767,0.7555,0.6848,0.3624,0.3911,0.131,"(3, 12, 13)"
Ada Boost Classifier,0.6709,0.6748,0.7567,0.7096,0.7126,0.3362,0.3665,0.161,"(3, 12, 13)"
Light Gradient Boosting Machine,0.6618,0.7038,0.6967,0.6917,0.6808,0.3263,0.3453,0.136,"(3, 12, 13)"
Ridge Classifier,0.6345,0.0,0.7567,0.6562,0.6889,0.25,0.2681,0.132,"(3, 12, 13)"
Logistic Regression,0.6236,0.6413,0.74,0.6644,0.6723,0.2363,0.2711,0.139,"(3, 12, 13)"
Decision Tree Classifier,0.6209,0.6192,0.6933,0.6626,0.6673,0.233,0.2396,0.125,"(3, 12, 13)"
Dummy Classifier,0.5445,0.5,1.0,0.5445,0.7039,0.0,0.0,0.133,"(3, 12, 13)"
Quadratic Discriminant Analysis,0.5136,0.5017,0.6733,0.5052,0.5642,0.0095,-0.0162,0.129,"(3, 12, 13)"
Naive Bayes,0.5045,0.4595,0.6433,0.5488,0.5815,-0.0098,-0.0131,0.132,"(3, 12, 13)"
SVM - Linear Kernel,0.4455,0.0,0.2333,0.14,0.1697,-0.04,-0.0408,0.127,"(3, 12, 13)"
K Neighbors Classifier,0.3782,0.3832,0.51,0.4229,0.4584,-0.2774,-0.2867,0.129,"(3, 12, 13)"
Linear Discriminant Analysis,0.7467,0.789,0.76,0.8089,0.7618,0.4871,0.5221,0.14,"(3, 12, 15)"
Extra Trees Classifier,0.6478,0.701,0.76,0.6818,0.7074,0.2711,0.2753,0.181,"(3, 12, 15)"
Ridge Classifier,0.6033,0.0,0.62,0.6746,0.6243,0.2036,0.225,0.131,"(3, 12, 15)"
Ada Boost Classifier,0.6033,0.564,0.64,0.6505,0.6388,0.1942,0.2,0.157,"(3, 12, 15)"
Light Gradient Boosting Machine,0.6022,0.577,0.68,0.656,0.6523,0.185,0.195,0.138,"(3, 12, 15)"
Random Forest Classifier,0.57,0.669,0.68,0.6068,0.6327,0.118,0.1303,0.191,"(3, 12, 15)"
Logistic Regression,0.5589,0.635,0.62,0.6246,0.6062,0.1039,0.121,0.138,"(3, 12, 15)"
Dummy Classifier,0.55,0.5,1.0,0.55,0.7095,0.0,0.0,0.135,"(3, 12, 15)"
Decision Tree Classifier,0.5267,0.52,0.62,0.5677,0.5827,0.0391,0.0527,0.133,"(3, 12, 15)"
Gradient Boosting Classifier,0.5156,0.539,0.6,0.5521,0.5692,0.0148,0.0136,0.174,"(3, 12, 15)"
SVM - Linear Kernel,0.5056,0.0,0.6,0.3278,0.4238,0.0,0.0,0.124,"(3, 12, 15)"
K Neighbors Classifier,0.4922,0.4705,0.54,0.5521,0.5274,-0.0259,-0.0194,0.133,"(3, 12, 15)"
Quadratic Discriminant Analysis,0.4733,0.445,0.74,0.5159,0.6048,-0.1154,-0.1633,0.132,"(3, 12, 15)"
Naive Bayes,0.4411,0.423,0.5,0.4821,0.4848,-0.1353,-0.1381,0.131,"(3, 12, 15)"
Linear Discriminant Analysis,0.7727,0.7733,0.78,0.7964,0.7806,0.5404,0.5567,0.135,"(3, 12, 16)"
Extra Trees Classifier,0.6836,0.7488,0.7333,0.7198,0.71,0.3671,0.3903,0.186,"(3, 12, 16)"
Ada Boost Classifier,0.6555,0.7363,0.7167,0.6707,0.6839,0.3064,0.3149,0.166,"(3, 12, 16)"
Random Forest Classifier,0.6536,0.7294,0.6967,0.6802,0.6803,0.3046,0.3139,0.185,"(3, 12, 16)"
Gradient Boosting Classifier,0.6527,0.6688,0.7267,0.6785,0.684,0.3007,0.3322,0.172,"(3, 12, 16)"
Ridge Classifier,0.6455,0.0,0.7167,0.6731,0.6858,0.2833,0.2929,0.131,"(3, 12, 16)"
Logistic Regression,0.6255,0.7103,0.6967,0.6583,0.6706,0.2383,0.2433,0.144,"(3, 12, 16)"
Decision Tree Classifier,0.6045,0.6,0.69,0.6272,0.6385,0.2005,0.2246,0.135,"(3, 12, 16)"
Quadratic Discriminant Analysis,0.5855,0.5658,0.8067,0.5935,0.6758,0.1296,0.1432,0.135,"(3, 12, 16)"
Light Gradient Boosting Machine,0.5745,0.6373,0.6033,0.6342,0.5941,0.1474,0.1707,0.139,"(3, 12, 16)"
Naive Bayes,0.5736,0.5833,0.5667,0.5702,0.5524,0.1546,0.1627,0.132,"(3, 12, 16)"
Dummy Classifier,0.5445,0.5,1.0,0.5445,0.7039,0.0,0.0,0.135,"(3, 12, 16)"
SVM - Linear Kernel,0.5045,0.0,0.5,0.2745,0.3539,0.0,0.0,0.14,"(3, 12, 16)"
K Neighbors Classifier,0.3282,0.2149,0.5267,0.3928,0.4433,-0.3954,-0.4451,0.132,"(3, 12, 16)"
Extra Trees Classifier,0.6917,0.7605,0.8167,0.6837,0.7347,0.3658,0.396,0.188,"(3, 12, 17)"
Linear Discriminant Analysis,0.6742,0.761,0.6881,0.733,0.681,0.3427,0.3535,0.135,"(3, 12, 17)"
Random Forest Classifier,0.6553,0.6171,0.8333,0.6492,0.7246,0.282,0.3112,0.198,"(3, 12, 17)"
Ridge Classifier,0.6121,0.0,0.6738,0.6539,0.649,0.2123,0.2203,0.138,"(3, 12, 17)"
Logistic Regression,0.5674,0.5881,0.6762,0.6096,0.627,0.1143,0.1238,0.143,"(3, 12, 17)"
Light Gradient Boosting Machine,0.5576,0.5195,0.6095,0.6366,0.5939,0.1043,0.1235,0.14,"(3, 12, 17)"
Dummy Classifier,0.5492,0.5,1.0,0.5492,0.709,0.0,0.0,0.139,"(3, 12, 17)"
Quadratic Discriminant Analysis,0.5409,0.4945,0.969,0.5464,0.6983,-0.0126,-0.0197,0.137,"(3, 12, 17)"
Ada Boost Classifier,0.5379,0.5805,0.6,0.5861,0.567,0.0655,0.0949,0.167,"(3, 12, 17)"
Decision Tree Classifier,0.522,0.5145,0.569,0.5731,0.5578,0.0288,0.038,0.14,"(3, 12, 17)"
K Neighbors Classifier,0.5212,0.5231,0.5881,0.5508,0.5582,0.0308,0.0397,0.136,"(3, 12, 17)"
Gradient Boosting Classifier,0.5106,0.5271,0.6167,0.5502,0.5714,-0.0022,-0.0041,0.18,"(3, 12, 17)"
SVM - Linear Kernel,0.4773,0.0,0.2714,0.1646,0.2037,-0.0091,-0.0098,0.141,"(3, 12, 17)"
Naive Bayes,0.4674,0.4862,0.6048,0.5169,0.5499,-0.0991,-0.1206,0.139,"(3, 12, 17)"
Extra Trees Classifier,0.7153,0.7812,0.71,0.7908,0.7176,0.4317,0.4736,0.196,"(3, 13, 15)"
Ridge Classifier,0.6139,0.0,0.685,0.6519,0.651,0.2116,0.2132,0.142,"(3, 13, 15)"
Quadratic Discriminant Analysis,0.6083,0.5975,0.67,0.6244,0.6307,0.1989,0.2235,0.14,"(3, 13, 15)"
Linear Discriminant Analysis,0.6014,0.6794,0.555,0.6533,0.5795,0.2061,0.2148,0.142,"(3, 13, 15)"
Ada Boost Classifier,0.5889,0.6512,0.65,0.6609,0.6048,0.1739,0.1882,0.17,"(3, 13, 15)"
Gradient Boosting Classifier,0.5889,0.625,0.62,0.5744,0.5797,0.179,0.1886,0.179,"(3, 13, 15)"
Random Forest Classifier,0.5681,0.6656,0.625,0.6002,0.5934,0.1251,0.1248,0.195,"(3, 13, 15)"
Logistic Regression,0.5667,0.615,0.62,0.603,0.5963,0.1214,0.1355,0.148,"(3, 13, 15)"
Decision Tree Classifier,0.5444,0.54,0.605,0.638,0.5774,0.0765,0.091,0.137,"(3, 13, 15)"
Dummy Classifier,0.5444,0.5,1.0,0.5444,0.7048,0.0,0.0,0.136,"(3, 13, 15)"
Light Gradient Boosting Machine,0.5417,0.63,0.645,0.5801,0.5845,0.0717,0.0745,0.149,"(3, 13, 15)"
K Neighbors Classifier,0.5,0.4819,0.465,0.6083,0.4954,0.0085,0.025,0.137,"(3, 13, 15)"
SVM - Linear Kernel,0.4667,0.0,0.2,0.1056,0.1381,0.0,0.0,0.137,"(3, 13, 15)"
Naive Bayes,0.4639,0.46,0.575,0.516,0.5359,-0.1059,-0.1162,0.142,"(3, 13, 15)"
Gradient Boosting Classifier,0.7978,0.8028,0.8467,0.8036,0.8208,0.5774,0.5893,0.185,"(3, 13, 16)"
Decision Tree Classifier,0.7789,0.7708,0.7867,0.7871,0.7795,0.5483,0.5575,0.144,"(3, 13, 16)"
Light Gradient Boosting Machine,0.7667,0.7957,0.8833,0.7458,0.7953,0.5161,0.5591,0.146,"(3, 13, 16)"
Extra Trees Classifier,0.7378,0.8237,0.8133,0.7538,0.7751,0.4571,0.473,0.19,"(3, 13, 16)"
Logistic Regression,0.7356,0.7967,0.7533,0.781,0.7515,0.4543,0.4694,0.144,"(3, 13, 16)"
Ridge Classifier,0.7344,0.0,0.7567,0.7845,0.7602,0.4508,0.4642,0.141,"(3, 13, 16)"
Random Forest Classifier,0.7067,0.7941,0.7767,0.7186,0.7423,0.3986,0.4064,0.197,"(3, 13, 16)"
Ada Boost Classifier,0.6844,0.7283,0.7333,0.7342,0.7128,0.3378,0.3652,0.165,"(3, 13, 16)"
Linear Discriminant Analysis,0.6478,0.7653,0.64,0.6829,0.6499,0.2779,0.2859,0.149,"(3, 13, 16)"
Naive Bayes,0.5456,0.6312,0.68,0.5842,0.6144,0.0648,0.0712,0.141,"(3, 13, 16)"
Dummy Classifier,0.5456,0.5,1.0,0.5456,0.7048,0.0,0.0,0.141,"(3, 13, 16)"
Quadratic Discriminant Analysis,0.5356,0.5083,0.8167,0.552,0.6562,0.0179,0.0124,0.141,"(3, 13, 16)"
SVM - Linear Kernel,0.4944,0.0,0.5,0.27,0.35,0.0,0.0,0.141,"(3, 13, 16)"
K Neighbors Classifier,0.4244,0.392,0.4933,0.4629,0.472,-0.1572,-0.1657,0.141,"(3, 13, 16)"
Extra Trees Classifier,0.6709,0.7507,0.6767,0.7279,0.6857,0.3369,0.3619,0.194,"(3, 13, 17)"
Linear Discriminant Analysis,0.6318,0.6973,0.64,0.6602,0.6435,0.2608,0.2686,0.148,"(3, 13, 17)"
Logistic Regression,0.6155,0.6847,0.68,0.6494,0.6355,0.2237,0.2517,0.149,"(3, 13, 17)"
Ridge Classifier,0.6155,0.0,0.6967,0.6232,0.6452,0.2222,0.2425,0.142,"(3, 13, 17)"
Ada Boost Classifier,0.6127,0.608,0.6867,0.6269,0.643,0.2082,0.2245,0.17,"(3, 13, 17)"
Light Gradient Boosting Machine,0.5964,0.6467,0.6767,0.6152,0.6401,0.179,0.1885,0.156,"(3, 13, 17)"
Random Forest Classifier,0.5791,0.6907,0.59,0.6446,0.594,0.1502,0.1645,0.2,"(3, 13, 17)"
Gradient Boosting Classifier,0.5509,0.6547,0.61,0.5675,0.5825,0.0937,0.098,0.187,"(3, 13, 17)"
Naive Bayes,0.5427,0.588,0.6433,0.578,0.6049,0.0629,0.0632,0.139,"(3, 13, 17)"
Dummy Classifier,0.5409,0.5,1.0,0.5409,0.702,0.0,0.0,0.146,"(3, 13, 17)"
SVM - Linear Kernel,0.5045,0.0,0.6,0.3227,0.4196,0.0,0.0,0.145,"(3, 13, 17)"
Decision Tree Classifier,0.4964,0.4967,0.4933,0.5738,0.498,-0.0078,0.0029,0.144,"(3, 13, 17)"
Quadratic Discriminant Analysis,0.4955,0.475,0.69,0.5267,0.5883,-0.0529,-0.0746,0.144,"(3, 13, 17)"
K Neighbors Classifier,0.4309,0.4173,0.5033,0.4602,0.4627,-0.1572,-0.1628,0.142,"(3, 13, 17)"
Light Gradient Boosting Machine,0.7375,0.7863,0.79,0.7656,0.7624,0.4648,0.4966,0.152,"(3, 15, 16)"
Gradient Boosting Classifier,0.6222,0.675,0.625,0.6683,0.6394,0.2488,0.2423,0.191,"(3, 15, 16)"
Linear Discriminant Analysis,0.6208,0.645,0.62,0.6771,0.6361,0.2409,0.2484,0.149,"(3, 15, 16)"
Ridge Classifier,0.6,0.0,0.615,0.6175,0.6047,0.1934,0.2045,0.143,"(3, 15, 16)"
Random Forest Classifier,0.5889,0.5694,0.685,0.6435,0.638,0.1584,0.1851,0.195,"(3, 15, 16)"
Decision Tree Classifier,0.5847,0.5825,0.615,0.6405,0.6181,0.1626,0.1708,0.149,"(3, 15, 16)"
Logistic Regression,0.575,0.6788,0.635,0.5762,0.5974,0.1425,0.1529,0.153,"(3, 15, 16)"
Ada Boost Classifier,0.575,0.5988,0.56,0.6133,0.5776,0.1614,0.1531,0.178,"(3, 15, 16)"
Dummy Classifier,0.5444,0.5,1.0,0.5444,0.7048,0.0,0.0,0.147,"(3, 15, 16)"
Extra Trees Classifier,0.5194,0.6388,0.555,0.5646,0.5431,0.0298,0.0471,0.198,"(3, 15, 16)"
K Neighbors Classifier,0.5125,0.5188,0.57,0.5362,0.5313,0.0247,0.0351,0.148,"(3, 15, 16)"
SVM - Linear Kernel,0.4889,0.0,0.5,0.2667,0.3476,0.0,0.0,0.147,"(3, 15, 16)"
Quadratic Discriminant Analysis,0.4792,0.4675,0.61,0.5217,0.5483,-0.0664,-0.1001,0.149,"(3, 15, 16)"
Naive Bayes,0.4778,0.5,0.53,0.5376,0.5002,-0.069,-0.0685,0.147,"(3, 15, 16)"
Extra Trees Classifier,0.75,0.8065,0.7533,0.8072,0.7595,0.4825,0.491,0.196,"(3, 15, 17)"
Gradient Boosting Classifier,0.6878,0.7425,0.7767,0.7154,0.7241,0.3519,0.3846,0.188,"(3, 15, 17)"
Random Forest Classifier,0.6544,0.7614,0.73,0.6792,0.6934,0.2684,0.2789,0.202,"(3, 15, 17)"
Light Gradient Boosting Machine,0.6356,0.6883,0.7367,0.6521,0.6846,0.2493,0.266,0.155,"(3, 15, 17)"
Ada Boost Classifier,0.6333,0.6068,0.7167,0.6507,0.6753,0.2516,0.2685,0.175,"(3, 15, 17)"
Ridge Classifier,0.6322,0.0,0.68,0.6727,0.6593,0.2509,0.2758,0.143,"(3, 15, 17)"
Linear Discriminant Analysis,0.63,0.7257,0.5867,0.6975,0.6226,0.2587,0.2696,0.147,"(3, 15, 17)"
Logistic Regression,0.6,0.6143,0.64,0.622,0.6214,0.1885,0.1988,0.151,"(3, 15, 17)"
Naive Bayes,0.5611,0.5392,0.76,0.5798,0.6536,0.0817,0.0963,0.149,"(3, 15, 17)"
Dummy Classifier,0.5511,0.5,1.0,0.5511,0.7095,0.0,0.0,0.153,"(3, 15, 17)"
Decision Tree Classifier,0.5422,0.5483,0.4967,0.6162,0.5373,0.0897,0.0965,0.146,"(3, 15, 17)"
SVM - Linear Kernel,0.53,0.0,0.4667,0.3056,0.3608,0.04,0.0408,0.148,"(3, 15, 17)"
Quadratic Discriminant Analysis,0.5111,0.4892,0.7433,0.533,0.611,-0.0233,-0.0034,0.15,"(3, 15, 17)"
K Neighbors Classifier,0.4722,0.4927,0.4667,0.5196,0.4747,-0.054,-0.0563,0.148,"(3, 15, 17)"
Extra Trees Classifier,0.7518,0.8527,0.81,0.7707,0.7763,0.4935,0.5202,0.207,"(3, 16, 17)"
Random Forest Classifier,0.7345,0.7793,0.7433,0.781,0.7482,0.4645,0.4838,0.204,"(3, 16, 17)"
Ridge Classifier,0.6882,0.0,0.7267,0.7199,0.7184,0.3663,0.3722,0.152,"(3, 16, 17)"
Light Gradient Boosting Machine,0.6709,0.784,0.7667,0.67,0.7095,0.3309,0.3465,0.157,"(3, 16, 17)"
Logistic Regression,0.6691,0.7087,0.7267,0.6898,0.704,0.3276,0.3337,0.155,"(3, 16, 17)"
Linear Discriminant Analysis,0.65,0.702,0.6733,0.6901,0.6708,0.2911,0.2966,0.159,"(3, 16, 17)"
Decision Tree Classifier,0.6245,0.625,0.63,0.6888,0.6364,0.246,0.2537,0.154,"(3, 16, 17)"
Gradient Boosting Classifier,0.6227,0.684,0.7267,0.632,0.6672,0.2315,0.2507,0.199,"(3, 16, 17)"
Quadratic Discriminant Analysis,0.5773,0.56,0.8,0.602,0.6732,0.1188,0.1127,0.152,"(3, 16, 17)"
Naive Bayes,0.5491,0.5673,0.6733,0.5721,0.6164,0.0737,0.0751,0.152,"(3, 16, 17)"
Dummy Classifier,0.5409,0.5,1.0,0.5409,0.702,0.0,0.0,0.152,"(3, 16, 17)"
Ada Boost Classifier,0.5118,0.5533,0.5733,0.5277,0.5339,0.0187,0.0261,0.187,"(3, 16, 17)"
SVM - Linear Kernel,0.4864,0.0,0.4,0.2136,0.2784,0.0,0.0,0.152,"(3, 16, 17)"
K Neighbors Classifier,0.4755,0.4303,0.5767,0.5083,0.5329,-0.0622,-0.0763,0.153,"(3, 16, 17)"
Random Forest Classifier,0.7318,0.7612,0.7595,0.7723,0.7513,0.4585,0.4846,0.206,"(6, 9, 12)"
Extra Trees Classifier,0.7152,0.7657,0.7738,0.7383,0.7481,0.4221,0.4383,0.201,"(6, 9, 12)"
Ada Boost Classifier,0.6621,0.7029,0.6262,0.7404,0.6548,0.3281,0.3524,0.187,"(6, 9, 12)"
Linear Discriminant Analysis,0.6614,0.7095,0.6762,0.7251,0.6842,0.3197,0.3398,0.159,"(6, 9, 12)"
Light Gradient Boosting Machine,0.6008,0.6405,0.6333,0.6465,0.6305,0.2003,0.2084,0.159,"(6, 9, 12)"
Gradient Boosting Classifier,0.5826,0.661,0.6119,0.6244,0.6073,0.1603,0.1645,0.203,"(6, 9, 12)"
Quadratic Discriminant Analysis,0.5568,0.51,1.0,0.5538,0.7122,0.0226,0.0357,0.151,"(6, 9, 12)"
Dummy Classifier,0.5485,0.5,1.0,0.5485,0.7082,0.0,0.0,0.158,"(6, 9, 12)"
Ridge Classifier,0.4977,0.0,0.5833,0.5429,0.5605,-0.0244,-0.0268,0.155,"(6, 9, 12)"
SVM - Linear Kernel,0.4697,0.0,0.2,0.1091,0.1412,0.0,0.0,0.155,"(6, 9, 12)"
Decision Tree Classifier,0.4674,0.4671,0.4976,0.5131,0.4944,-0.0667,-0.0713,0.158,"(6, 9, 12)"
Logistic Regression,0.4598,0.4533,0.5643,0.5051,0.5294,-0.108,-0.109,0.159,"(6, 9, 12)"
K Neighbors Classifier,0.4477,0.4498,0.5143,0.4915,0.4989,-0.1205,-0.1266,0.152,"(6, 9, 12)"
Naive Bayes,0.4333,0.4076,0.431,0.4646,0.4406,-0.1368,-0.1421,0.15,"(6, 9, 12)"
Extra Trees Classifier,0.7485,0.8207,0.8548,0.7615,0.7919,0.4792,0.5115,0.208,"(6, 9, 13)"
Linear Discriminant Analysis,0.7477,0.7938,0.7714,0.7917,0.774,0.4881,0.4986,0.169,"(6, 9, 13)"
Random Forest Classifier,0.703,0.7302,0.819,0.7209,0.7571,0.3818,0.404,0.207,"(6, 9, 13)"
Gradient Boosting Classifier,0.6682,0.6952,0.7405,0.6991,0.7118,0.3207,0.3285,0.2,"(6, 9, 13)"
Light Gradient Boosting Machine,0.6492,0.7224,0.7881,0.6546,0.7114,0.2732,0.2923,0.161,"(6, 9, 13)"
Ada Boost Classifier,0.6242,0.6281,0.7119,0.6593,0.6725,0.2342,0.2503,0.189,"(6, 9, 13)"
Decision Tree Classifier,0.5773,0.5702,0.6405,0.6177,0.6143,0.1406,0.1467,0.159,"(6, 9, 13)"
Quadratic Discriminant Analysis,0.5667,0.52,1.0,0.56,0.7175,0.044,0.0703,0.154,"(6, 9, 13)"
Dummy Classifier,0.5492,0.5,1.0,0.5492,0.709,0.0,0.0,0.165,"(6, 9, 13)"
Ridge Classifier,0.5235,0.0,0.6881,0.5575,0.6017,0.0069,0.0127,0.155,"(6, 9, 13)"
SVM - Linear Kernel,0.5129,0.0,0.6,0.3311,0.4266,0.0,0.0,0.148,"(6, 9, 13)"
Logistic Regression,0.478,0.4567,0.6381,0.5152,0.5622,-0.0849,-0.102,0.166,"(6, 9, 13)"
Naive Bayes,0.4341,0.4367,0.4786,0.5335,0.4758,-0.147,-0.1534,0.16,"(6, 9, 13)"
K Neighbors Classifier,0.3871,0.3805,0.4738,0.456,0.4579,-0.2515,-0.2639,0.157,"(6, 9, 13)"
Linear Discriminant Analysis,0.7,0.7823,0.6533,0.7286,0.6728,0.3987,0.4035,0.159,"(6, 9, 15)"
Logistic Regression,0.67,0.6493,0.7233,0.6902,0.6966,0.3236,0.3456,0.165,"(6, 9, 15)"
Ridge Classifier,0.67,0.0,0.6733,0.7192,0.6859,0.332,0.3427,0.158,"(6, 9, 15)"
Gradient Boosting Classifier,0.65,0.7187,0.73,0.6683,0.6854,0.283,0.3103,0.2,"(6, 9, 15)"
Ada Boost Classifier,0.64,0.7273,0.6533,0.6621,0.6473,0.2834,0.2897,0.186,"(6, 9, 15)"
Extra Trees Classifier,0.64,0.7351,0.7367,0.6334,0.6695,0.2565,0.2799,0.213,"(6, 9, 15)"
Random Forest Classifier,0.62,0.6889,0.7433,0.626,0.6716,0.2077,0.2243,0.212,"(6, 9, 15)"
Quadratic Discriminant Analysis,0.61,0.5975,0.84,0.6387,0.7078,0.1928,0.1965,0.161,"(6, 9, 15)"
Light Gradient Boosting Machine,0.61,0.6708,0.6433,0.644,0.6185,0.233,0.2524,0.169,"(6, 9, 15)"
Decision Tree Classifier,0.57,0.5617,0.5933,0.6242,0.5976,0.1158,0.1179,0.159,"(6, 9, 15)"
SVM - Linear Kernel,0.55,0.0,0.9,0.5,0.6417,0.0,0.0,0.154,"(6, 9, 15)"
Dummy Classifier,0.55,0.5,1.0,0.55,0.7083,0.0,0.0,0.165,"(6, 9, 15)"
K Neighbors Classifier,0.54,0.5489,0.5267,0.5817,0.5333,0.08,0.0858,0.163,"(6, 9, 15)"
Naive Bayes,0.49,0.5185,0.5833,0.5296,0.5415,-0.0317,-0.0337,0.153,"(6, 9, 15)"
Extra Trees Classifier,0.7288,0.8226,0.819,0.7329,0.7681,0.4434,0.4613,0.211,"(6, 9, 16)"
Random Forest Classifier,0.7197,0.8081,0.7857,0.7363,0.7538,0.4287,0.4397,0.212,"(6, 9, 16)"
Light Gradient Boosting Machine,0.6826,0.7652,0.7,0.7332,0.7012,0.3605,0.3797,0.168,"(6, 9, 16)"
Ada Boost Classifier,0.6735,0.7007,0.75,0.6967,0.7109,0.3337,0.3567,0.194,"(6, 9, 16)"
Gradient Boosting Classifier,0.6652,0.7676,0.7381,0.7011,0.7092,0.316,0.3327,0.204,"(6, 9, 16)"
Linear Discriminant Analysis,0.6402,0.7229,0.7405,0.674,0.6891,0.2606,0.2804,0.168,"(6, 9, 16)"
Decision Tree Classifier,0.6288,0.6279,0.6357,0.6619,0.6374,0.2559,0.257,0.156,"(6, 9, 16)"
Ridge Classifier,0.5871,0.0,0.7262,0.6002,0.6525,0.1515,0.1683,0.16,"(6, 9, 16)"
Logistic Regression,0.5598,0.5886,0.6929,0.5877,0.6288,0.0947,0.1005,0.172,"(6, 9, 16)"
Dummy Classifier,0.5492,0.5,1.0,0.5492,0.709,0.0,0.0,0.16,"(6, 9, 16)"
Quadratic Discriminant Analysis,0.5402,0.4945,0.969,0.5464,0.6978,-0.0116,-0.0213,0.162,"(6, 9, 16)"
Naive Bayes,0.5303,0.5995,0.5405,0.5982,0.5595,0.056,0.0632,0.163,"(6, 9, 16)"
SVM - Linear Kernel,0.4765,0.0,0.2,0.1129,0.1443,0.0,0.0,0.163,"(6, 9, 16)"
K Neighbors Classifier,0.4576,0.4281,0.4881,0.5112,0.4894,-0.0943,-0.1004,0.163,"(6, 9, 16)"
Extra Trees Classifier,0.7769,0.8466,0.8738,0.7629,0.8044,0.5459,0.5777,0.214,"(6, 9, 17)"
Linear Discriminant Analysis,0.7679,0.8254,0.7738,0.809,0.7812,0.5345,0.5516,0.168,"(6, 9, 17)"
Random Forest Classifier,0.7436,0.7734,0.8286,0.7331,0.768,0.4816,0.5031,0.217,"(6, 9, 17)"
