subject,experimental_condition,rpe,wrist_acc_time,wrist_acc_length,wrist_acc_mean,wrist_acc_rms,wrist_acc_mad,wrist_acc_std,wrist_acc_min,wrist_acc_max,wrist_acc_med,wrist_acc_perc25,wrist_acc_perc75,wrist_jerk_mean,wrist_jerk_rms,wrist_jerk_mad,wrist_jerk_std,wrist_jerk_min,wrist_jerk_max,wrist_jerk_med,wrist_jerk_perc25,wrist_jerk_perc75,trunk_acc_mean,trunk_acc_rms,trunk_acc_mad,trunk_acc_std,trunk_acc_min,trunk_acc_max,trunk_acc_med,trunk_acc_perc25,trunk_acc_perc75,trunk_jerk_mean,trunk_jerk_rms,trunk_jerk_mad,trunk_jerk_std,trunk_jerk_min,trunk_jerk_max,trunk_jerk_med,trunk_jerk_perc25,trunk_jerk_perc75,upperarm_acc_mean,upperarm_acc_rms,upperarm_acc_mad,upperarm_acc_std,upperarm_acc_min,upperarm_acc_max,upperarm_acc_med,upperarm_acc_perc25,upperarm_acc_perc75,upperarm_jerk_mean,upperarm_jerk_rms,upperarm_jerk_mad,upperarm_jerk_std,upperarm_jerk_min,upperarm_jerk_max,upperarm_jerk_med,upperarm_jerk_perc25,upperarm_jerk_perc75
13,Condition 1.5-15,0,1642952063.0,2409,1.03034459229075,1.06576860733272,0.196365984705202,0.27255014469067,0.298820104295631,2.26413095562937,1.00539994903413,0.862841223726251,1.16147025557689,6.07234503939828,7.97955010598982,4.01285956530132,5.17793199494721,0.0339345079711779,43.4836299576651,4.56419638247062,2.16461985780998,8.78326328462109,1.03203752058204,1.03257147288161,0.0211198052544618,0.0332093439895888,0.884226643209443,1.30267656667677,1.0310451562783,1.01873035017669,1.04408453858398,1.19748352712371,1.53838625842721,0.660177356405451,0.965946666670236,0.0197770316689567,10.1595378511191,0.971763233112274,0.580666338334623,1.50688501705481,0.99626589437405,1.00313842551894,0.0859767182558763,0.117246214616674,0.623869908521666,1.48675090545725,0.996370063736959,0.923234668371502,1.05336916552813,3.24294704130303,4.01775342244757,1.81977057558965,2.37233518911256,0.101973411253024,15.4571044122905,2.69833485740831,1.47918803445065,4.37752260310135
13,Condition 1.5-15,1,1642953299.5,2394,1.02757523334575,1.05598836239931,0.173878798743105,0.243362487646164,0.265288211238734,2.17663867564969,0.99981595003331,0.893541348398822,1.13293271168785,5.66675259810351,7.52067362802788,3.64145104758453,4.94557051651082,0.0808983136110179,45.5413758098731,4.5079922609329,2.09072934450059,7.81600590366834,1.03207658326409,1.0325290427291,0.0189066550234009,0.030570258829034,0.893572443415168,1.23532761738827,1.03188751538464,1.02050824578551,1.04365434870722,1.11104249537144,1.52888239453731,0.683746438469599,1.05048898032168,0.0326835121848,9.1938538570405,0.812789569876318,0.493841457846733,1.35031595987632,0.99698435757428,1.00417149502478,0.0853614590352631,0.119952459103777,0.527773987284921,1.41237295391245,1.00097798243832,0.935795586409253,1.05305105822817,3.13479174196181,3.92770610218317,1.86338366006306,2.36691720986754,0.0452685019879199,12.6551161640964,2.61031721001046,1.30683994482718,4.33549954617886
13,Condition 1.5-15,1,1642953516.0,2326,1.02902453611135,1.05779408089472,0.177112230698038,0.245076812337724,0.323554146534146,2.15664701002754,0.996527471481454,0.880237575523221,1.13517523209225,5.82387322122474,8.37432680303029,4.00427041925377,6.01892281044946,0.0936943035265167,73.7401961620121,4.23527651881848,1.98693306421798,7.8310870869474,1.03177271777295,1.03240839790135,0.0204152860947998,0.036231523375083,0.815977555324147,1.4476913514742,1.03109411906522,1.01987262240946,1.0432713814512,1.08784282156072,1.48746771498174,0.645996495092658,1.0146925829274,0.018216610957315,11.5285264081425,0.846297761393103,0.491507211472907,1.35417498709921,0.993251004655557,0.998860613562101,0.0773271777087103,0.10573444809444,0.576473129157668,1.4361924810273,0.995749825376523,0.932326417837406,1.04216559920575,2.81734324242098,3.58912005327735,1.69317952867474,2.2240699927511,0.0318481287650904,15.5902761357308,2.31765785714661,1.10299596371433,3.89078018734545
13,Condition 1.5-15,1,1642953568.0,2339,1.02481767443128,1.05311319852072,0.172830951177236,0.242531010641398,0.339179993185491,2.09223169455383,0.998176189094488,0.886535843134362,1.12974867747949,5.74905558031974,7.61760635900188,3.72682408229658,4.99869722063109,0.0819835249804121,38.6774492771026,4.3753265937821,2.07265166164811,7.8896798623387,1.0320630937078,1.03255956985864,0.0212898765939857,0.0320230282327922,0.847518557687939,1.22490832371523,1.03118480167171,1.01782443775095,1.04605307594737,1.12019808534917,1.44070542229771,0.639942862976396,0.906167522012895,0.038081961351656,7.22042064004329,0.908074953439133,0.509587910374583,1.44284077999191,0.991397186595755,0.998588994473527,0.0876766302464383,0.119656673834757,0.602465344215932,1.3910844692105,0.994921688146156,0.91948286712153,1.0454568499815,3.24192867757525,4.00392544527532,1.84471822189779,2.35025104768168,0.112515499754695,13.0793648708642,2.70667599379343,1.40604066744554,4.43489496810921
13,Condition 1.5-15,1,1642953592.0,2442,1.03122234632477,1.05691889882245,0.176086196288681,0.231689475625985,0.344533145373907,2.09475896311907,0.9967114799112,0.889581977218618,1.16047423208968,5.30418690878767,6.78981272968512,3.12821290010942,4.23963698095032,0.277907820317962,32.2453665717555,4.11350127142022,2.38251207853606,7.22114238263134,1.0316316687247,1.0319495933151,0.0171770971457203,0.0256189772570967,0.869405788459393,1.14288023988155,1.03195510018296,1.02111168755258,1.04225455107429,1.04152711665571,1.35989676883427,0.637626495780739,0.874559216646859,0.0201896150620053,6.77830393755454,0.749748203656592,0.452948570309119,1.36110838117403,0.989308824055441,0.993774363200062,0.069882193773873,0.0941231290957891,0.517590615270326,1.39903151416797,0.993425167164413,0.935843685769063,1.04477458248239,2.63632695320532,3.17661015749855,1.28961602259082,1.77254603125186,0.0901879721817433,13.4991103162096,2.24543829146759,1.46428293161762,3.3492379428895
13,Condition 1.5-15,1,1642953618.0,2785,1.02166302539911,1.04210474216832,0.147974467687499,0.205431520324256,0.236062013724276,2.06760629505021,0.996512404593435,0.908841915523785,1.11437996397718,5.02872977170275,6.76556767482803,3.32897349075883,4.52682488391228,0.0591971199713077,39.3920222943973,3.71854649804831,1.96020479796403,6.8296253770563,1.03143680192762,1.03173451179098,0.0163638589231372,0.0247880430293793,0.899101682102976,1.16757728039818,1.03207425081451,1.02076303998596,1.04154082047889,0.962722253351512,1.228052874087,0.562208423588515,0.762553993159859,0.0266004514708403,5.94019941755771,0.764347816766199,0.440869702323162,1.27403127866149,0.992856052371192,0.997642690611467,0.073845224757846,0.0976279659800404,0.678382095133839,1.41580657107151,0.995738183703571,0.929927883449456,1.04531144898369,2.59034286543337,3.21239806773573,1.46142140258787,1.90024267180464,0.0440260147413607,12.744084137002,2.14939614211238,1.22340334730902,3.55526400307221
13,Condition 2.5-15,0,1643750108.0,2809,1.02980198649909,1.06662270861865,0.186060106756517,0.277883718713638,0.184364862841599,2.31383255387298,0.9956489624549,0.890458188390559,1.11368116892554,5.50762906076992,8.48881982428343,4.29699510270932,6.46072357778063,0.0615676660327086,54.8254165124619,3.45061952606693,1.48357368743566,7.37873791987871,1.02945909566592,1.02997445910343,0.0202801337035025,0.0325842712386882,0.816684483350572,1.24514821681043,1.02914061588446,1.01835925705756,1.04200583799083,1.04300957617477,1.37919919128143,0.631812403624328,0.902558328897821,0.0072223487394054,6.92238639557775,0.828754265072908,0.430730055449044,1.34760928829113,1.00814069602205,1.01570458065731,0.083431638457652,0.123748065869497,0.574969022619364,1.57048512552535,1.0079510300587,0.94879204438432,1.0541118877771,2.98779743614964,4.15434137631658,2.03597252048774,2.88696846350021,0.0310518444762724,21.6646720225321,2.21756494685955,1.02497607440654,3.82503311538331
13,Condition 2.5-15,0,1643750134.0,2466,1.05620250293604,1.09981073549213,0.229274967205706,0.30668887924651,0.19688613855668,2.37275534226684,1.02490077009971,0.858138894440471,1.19151460496198,6.86521902259479,9.31551434707409,4.57387215762832,6.29790965790109,0.164279692952308,56.1297112358602,4.70701596914112,2.65111922190886,9.13601457650606,1.03017645064115,1.03080570085968,0.0231727291472889,0.0360194334243394,0.872334537327186,1.2890155317467,1.02972154748773,1.01509676907331,1.04486768360387,1.29889643652338,1.62855268052593,0.707758819220372,0.982569865760607,0.0848627918572405,7.33794577480238,1.04061110627549,0.634127445441205,1.65482040092563,1.01166937049717,1.02013458794103,0.100542845214852,0.13117408228042,0.674761270293789,1.55440170878469,1.01053892380868,0.923225816137522,1.08474128994281,3.9966918636899,5.21062893033867,2.19283800467367,3.34389655347723,0.100079784568319,38.9124311729378,3.22437621830492,1.94246996839209,5.05609888477084
13,Condition 2.5-15,0,1643750378.0,2424,1.067052242309,1.11466261533697,0.23052366823203,0.322358693833771,0.183338804939069,2.48025303005364,1.02540881875137,0.90206992032785,1.21539041694129,7.84635784520413,10.2546249839461,4.83381015121799,6.60378682845881,0.233823492330109,42.3650421645045,5.93627685665129,3.3108370203755,10.4644495846446,1.03283008793057,1.0338120182418,0.0299576718161756,0.0450570309873347,0.840774328861976,1.35309292909568,1.03003709130762,1.01352992439412,1.05013440943074,1.78145594817589,2.26262170974255,0.994173787939091,1.39523299894494,0.0772339396021533,11.8261910167956,1.41072167153544,0.85929097143149,2.30577578973594,1.01630459791495,1.02852558198412,0.114801576609627,0.158114359392804,0.430337842788551,1.6166241308156,1.01141794257545,0.936694004409256,1.09831049082753,4.61545809094791,5.62344367255133,2.39049339757991,3.21324237572306,0.193205608273627,24.730965677783,3.84051621401288,2.35977725772777,5.89016517688297
13,Condition 2.5-15,1,1643751613.0,2766,1.03589580639398,1.06878838842628,0.182339520207128,0.263160663780728,0.245945703415685,2.3181504608485,1.00403434507119,0.898740144647956,1.13501906616905,6.23808882656328,9.19161740984098,4.59016823911071,6.75193054823212,0.141732167680282,68.7738257933033,3.91365287883519,2.02126675839625,7.92449095187466,1.03140596652383,1.03208224618885,0.0258936393286288,0.0373630809370938,0.876522101449128,1.24584157908371,1.03103616386061,1.01369027244978,1.04796120897034,1.4276633364188,1.7719678101261,0.773778460898716,1.04978373387571,0.0296813552339161,8.14423333968678,1.16553801623265,0.690533751957174,1.88298395410791,1.01003128176684,1.01808410770351,0.0872134670526564,0.127820056812134,0.50749004179494,1.7502220608699,1.0123483635933,0.955304034759608,1.06564843180953,3.64104664592164,4.81094262165343,2.30143384046206,3.1450795914186,0.0813994971558417,23.4723807826564,2.69364564293051,1.44494304112559,4.85316432722234
